57 88.24 4.47274E-05 0.192686 0.43702 16.235 4.04425E-05 0.000158106 0.00357344 24.7045 0 -1.06177 2.45556 29.0647 -0.673591 1.8171 7.30945 3.39619 0.859551 0.382602 -0.25128 11965
57 88.24 5.84266E-05 0.192684 0.434685 11.4711 4.90319E-05 0.000187289 0.00412044 19.8225 0 -0.268047 4.76899 29.2699 -0.0203344 0.746599 7.6195 3.48404 0.864891 0.374957 -0.250079 12029
34 88.24 0.00011175 0.192683 0.429847 4.70307 7.92199E-05 0.000282703 0.00576692 11.0149 0 -0.561758 4.66959 29.4838 -0.150935 0.716963 7.71481 3.57546 0.923609 0.437724 0.346113 12082
30 88.24 0.000214656 0.192687 0.43016 1.91172 0.000138286 0.000433147 0.00795035 5.65286 0 -0.586662 4.67646 29.5112 -0.157536 0.719803 7.71656 3.61394 0.92894 -36.5173 100 12153
35 88.24 0.000234309 0.192691 0.430277 1.70142 0.000159496 0.000458707 0.00831586 4.95696 0 -0.332066 4.59616 29.2338 -0.169599 0.72754 7.7179 3.67649 0.948051 0.185311 -0.0290005 12214
35 88.24 0.000268629 0.192697 0.429275 1.40371 0.000183362 0.000500395 0.0089455 4.21926 0 -0.237887 4.5954 29.1506 -0.279498 0.758447 7.7599 3.64025 0.949876 0.175842 -0.036363 12265
35 88.24 0.000268629 0.192697 0.429275 1.40371 0.000183362 0.000500395 0.0089455 4.21926 0 -0.264795 4.60208 29.1775 -0.27617 0.75758 7.75856 3.65067 0.951447 0.175842 -0.036363 12317
33 88.24 0.000221534 0.192696 0.430298 1.84265 0.000163931 0.000442109 0.0080866 5.0385 0 -0.275685 4.60938 29.1909 -0.27451 0.75486 7.75955 3.64262 0.95086 0.169971 -0.0415996 12367
58 88.24 0.000103459 0.192704 0.436737 5.5443 9.57902E-05 0.000272682 0.00538681 10.5625 0 -0.0724876 4.55367 28.9884 -0.338363 0.778919 7.78025 3.59822 0.943161 0.236827 -0.0329684 12426
58 88.24 0.00013026 0.192709 0.447312 4.42764 0.000108363 0.000325001 0.00580088 8.99109 0 -0.0895513 4.53572 28.9936 -0.344509 0.785588 7.77911 3.5823 0.939405 0.22955 -0.0337677 12483
