0 0  0 0 0 0 0 0 0 0 0 0 1451
0 0  0 0 0 0 0 0 0 0 0 0 1502
0 0  0 0 0 0 0 0 0 0 0 0 1553
0 0  0 0 0 0 0 0 0 0 0 0 1604
0 0  0 0 0 0 0 0 0 0 0 0 1655
0 0  0 0 0 0 0 0 0 0 0 0 1705
0 0  0 0 0 0 0 0 0 0 0 0 1756
0 0  0 0 0 0 0 0 0 0 0 0 1807
0 0  0 0 0 0 0 0 0 0 0 0 1856
0 0  0 0 0 0 0 0 0 0 0 0 1907
0 0  0 0 0 0 0 0 0 0 0 0 1957
0 0  0 0 0 0 0 0 0 0 0 0 2008
0 0  0 0 0 0 0 0 0 0 0 0 2059
0 0  0 0 0 0 0 0 0 0 0 0 2110
0 0  0 0 0 0 0 0 0 0 0 0 2160
0 0  0 0 0 0 0 0 0 0 0 0 2212
0 0  0 0 0 0 0 0 0 0 0 0 2263
0 0  0 0 0 0 0 0 0 0 0 0 2313
0 0  0 0 0 0 0 0 0 0 0 0 2364
0 0  0 0 0 0 0 0 0 0 0 0 2414
0 0  0 0 0 0 0 0 0 0 0 0 2465
0 0  0 0 0 0 0 0 0 0 0 0 2515
0 0  0 0 0 0 0 0 0 0 0 0 2566
0 0  0 0 0 0 0 0 0 0 0 0 2616
0 0  0 0 0 0 0 0 0 0 0 0 2667
0 0  0 0 0 0 0 0 0 0 0 0 2718
0 0  0 0 0 0 0 0 0 0 0 0 2770
0 0  0 0 0 0 0 0 0 0 0 0 2822
0 0  0 0 0 0 0 0 0 0 0 0 2872
0 0  0 0 0 0 0 0 0 0 0 0 2922
0 0  0 0 0 0 0 0 0 0 0 0 2974
