0 0  0 0 0 0 0 0 0 0 0 0 64
0 0  0 0 0 0 0 0 0 0 0 0 117
0 0  0 0 0 0 0 0 0 0 0 0 168
0 0  0 0 0 0 0 0 0 0 0 0 220
0 0  0 0 0 0 0 0 0 0 0 0 272
0 0  0 0 0 0 0 0 0 0 0 0 323
0 0  0 0 0 0 0 0 0 0 0 0 374
0 0  0 0 0 0 0 0 0 0 0 0 425
0 0  0 0 0 0 0 0 0 0 0 0 476
0 0  0 0 0 0 0 0 0 0 0 0 526
0 0  0 0 0 0 0 0 0 0 0 0 578
0 0  0 0 0 0 0 0 0 0 0 0 628
0 0  0 0 0 0 0 0 0 0 0 0 678
0 0  0 0 0 0 0 0 0 0 0 0 730
0 0  0 0 0 0 0 0 0 0 0 0 781
0 0  0 0 0 0 0 0 0 0 0 0 833
0 0  0 0 0 0 0 0 0 0 0 0 883
0 0  0 0 0 0 0 0 0 0 0 0 934
0 0  0 0 0 0 0 0 0 0 0 0 986
0 0  0 0 0 0 0 0 0 0 0 0 1036
0 0  0 0 0 0 0 0 0 0 0 0 1086
0 0  0 0 0 0 0 0 0 0 0 0 1137
0 0  0 0 0 0 0 0 0 0 0 0 1187
0 0  0 0 0 0 0 0 0 0 0 0 1237
0 0  0 0 0 0 0 0 0 0 0 0 1288
0 0  0 0 0 0 0 0 0 0 0 0 1338
0 0  0 0 0 0 0 0 0 0 0 0 1389
0 0  0 0 0 0 0 0 0 0 0 0 1439
0 0  0 0 0 0 0 0 0 0 0 0 1489
0 0  0 0 0 0 0 0 0 0 0 0 1546
0 0  0 0 0 0 0 0 0 0 0 0 1734
0 0  0 0 0 0 0 0 0 0 0 0 1784
0 0  0 0 0 0 0 0 0 0 0 0 1834
0 0  0 0 0 0 0 0 0 0 0 0 1886
0 0  0 0 0 0 0 0 0 0 0 0 1936
0 0  0 0 0 0 0 0 0 0 0 0 1987
0 0  0 0 0 0 0 0 0 0 0 0 2038
0 0  0 0 0 0 0 0 0 0 0 0 2089
0 0  0 0 0 0 0 0 0 0 0 0 2140
0 0  0 0 0 0 0 0 0 0 0 0 2191
0 0  0 0 0 0 0 0 0 0 0 0 2241
0 0  0 0 0 0 0 0 0 0 0 0 2293
0 0  0 0 0 0 0 0 0 0 0 0 2344
0 0  0 0 0 0 0 0 0 0 0 0 2395
0 0  0 0 0 0 0 0 0 0 0 0 2446
0 0  0 0 0 0 0 0 0 0 0 0 2497
0 0  0 0 0 0 0 0 0 0 0 0 2548
0 0  0 0 0 0 0 0 0 0 0 0 2599
0 0  0 0 0 0 0 0 0 0 0 0 2650
0 0  0 0 0 0 0 0 0 0 0 0 2701
0 0  0 0 0 0 0 0 0 0 0 0 2752
0 0  0 0 0 0 0 0 0 0 0 0 2803
0 0  0 0 0 0 0 0 0 0 0 0 2854
0 0  0 0 0 0 0 0 0 0 0 0 2906
0 0  0 0 0 0 0 0 0 0 0 0 2957
0 0  0 0 0 0 0 0 0 0 0 0 3007
0 0  0 0 0 0 0 0 0 0 0 0 3058
0 0  0 0 0 0 0 0 0 0 0 0 3109
0 0  0 0 0 0 0 0 0 0 0 0 3160
0 0  0 0 0 0 0 0 0 0 0 0 3212
0 0  0 0 0 0 0 0 0 0 0 0 3261
0 0  0 0 0 0 0 0 0 0 0 0 3312
0 0  0 0 0 0 0 0 0 0 0 0 3362
0 0  0 0 0 0 0 0 0 0 0 0 3414
0 0  0 0 0 0 0 0 0 0 0 0 3465
0 0  0 0 0 0 0 0 0 0 0 0 3516
0 0  0 0 0 0 0 0 0 0 0 0 3567
0 0  0 0 0 0 0 0 0 0 0 0 3618
0 0  0 0 0 0 0 0 0 0 0 0 3669
0 inf  0 0 0 0 0 0 0 0 0 0 3720
