0 0  0 0 0 0 0 0 0 0 0 0 1649
0 0  0 0 0 0 0 0 0 0 0 0 1701
0 0  0 0 0 0 0 0 0 0 0 0 1754
0 0  0 0 0 0 0 0 0 0 0 0 1804
0 0  0 0 0 0 0 0 0 0 0 0 1855
0 0  0 0 0 0 0 0 0 0 0 0 1905
0 0  0 0 0 0 0 0 0 0 0 0 1967
0 0  0 0 0 0 0 0 0 0 0 0 2019
0 0  0 0 0 0 0 0 0 0 0 0 2073
0 0  0 0 0 0 0 0 0 0 0 0 2123
0 0  0 0 0 0 0 0 0 0 0 0 2174
0 0  0 0 0 0 0 0 0 0 0 0 2227
0 0  0 0 0 0 0 0 0 0 0 0 2278
0 0  0 0 0 0 0 0 0 0 0 0 2333
0 0  0 0 0 0 0 0 0 0 0 0 2391
0 0  0 0 0 0 0 0 0 0 0 0 2443
0 0  0 0 0 0 0 0 0 0 0 0 2494
0 0  0 0 0 0 0 0 0 0 0 0 2546
0 0  0 0 0 0 0 0 0 0 0 0 2599
0 0  0 0 0 0 0 0 0 0 0 0 2659
0 0  0 0 0 0 0 0 0 0 0 0 2709
0 0  0 0 0 0 0 0 0 0 0 0 2760
0 0  0 0 0 0 0 0 0 0 0 0 2810
0 0  0 0 0 0 0 0 0 0 0 0 2863
0 0  0 0 0 0 0 0 0 0 0 0 2918
0 0  0 0 0 0 0 0 0 0 0 0 2969
0 0  0 0 0 0 0 0 0 0 0 0 3023
0 0  0 0 0 0 0 0 0 0 0 0 3076
0 0  0 0 0 0 0 0 0 0 0 0 3128
0 0  0 0 0 0 0 0 0 0 0 0 3181
0 0  0 0 0 0 0 0 0 0 0 0 3234
0 0  0 0 0 0 0 0 0 0 0 0 3286
0 0  0 0 0 0 0 0 0 0 0 0 3338
0 0  0 0 0 0 0 0 0 0 0 0 3389
0 0  0 0 0 0 0 0 0 0 0 0 3440
0 0  0 0 0 0 0 0 0 0 0 0 3490
0 0  0 0 0 0 0 0 0 0 0 0 3541
0 0  0 0 0 0 0 0 0 0 0 0 3592
0 0  0 0 0 0 0 0 0 0 0 0 3645
0 0  0 0 0 0 0 0 0 0 0 0 3697
0 0  0 0 0 0 0 0 0 0 0 0 3748
0 0  0 0 0 0 0 0 0 0 0 0 3799
0 0  0 0 0 0 0 0 0 0 0 0 3854
0 0  0 0 0 0 0 0 0 0 0 0 3908
0 0  0 0 0 0 0 0 0 0 0 0 3959
0 0  0 0 0 0 0 0 0 0 0 0 4009
0 0  0 0 0 0 0 0 0 0 0 0 4061
0 0  0 0 0 0 0 0 0 0 0 0 4114
0 0  0 0 0 0 0 0 0 0 0 0 4165
0 0  0 0 0 0 0 0 0 0 0 0 4217
0 0  0 0 0 0 0 0 0 0 0 0 4269
0 0  0 0 0 0 0 0 0 0 0 0 4320
0 0  0 0 0 0 0 0 0 0 0 0 4372
0 0  0 0 0 0 0 0 0 0 0 0 4431
0 0  0 0 0 0 0 0 0 0 0 0 4481
0 0  0 0 0 0 0 0 0 0 0 0 4539
0 0  0 0 0 0 0 0 0 0 0 0 4595
0 0  0 0 0 0 0 0 0 0 0 0 4650
0 0  0 0 0 0 0 0 0 0 0 0 4704
0 0  0 0 0 0 0 0 0 0 0 0 4762
0 0  0 0 0 0 0 0 0 0 0 0 4814
0 0  0 0 0 0 0 0 0 0 0 0 4866
0 0  0 0 0 0 0 0 0 0 0 0 4926
