0 0  -2.06081 3.32859 61.1427 1.96255 -0.286135 71.04 3.82305 4.4112 0.51285 0.615234 3480
0 0  -2.13963 3.31821 61.2636 2.08016 -0.316773 70.9585 3.77542 4.398 0.513542 0.615601 3536
0 0  -2.14854 3.31364 61.2736 2.08303 -0.294819 70.9394 3.7954 4.39254 0.506348 0.621165 3590
0 0  -2.16602 3.30503 61.2938 2.0853 -0.293872 70.9367 3.74968 4.35718 0.506468 0.621891 3640
0 0  -2.16819 3.30654 61.2993 2.09665 -0.294299 70.9271 3.66801 4.31093 0.505936 0.622714 3694
0 0  -2.15944 3.33438 61.3166 2.09981 -0.312693 70.9382 3.62417 4.28321 0.505163 0.622899 3748
0 0  -2.16215 3.33192 61.3184 2.10532 -0.32094 70.9396 3.62061 4.2708 0.505365 0.622675 3799
0 0  -2.17299 3.32672 61.3312 2.10362 -0.334049 70.9511 3.61199 4.25548 0.504763 0.622307 3850
0 0  -2.18225 3.33208 61.3536 2.10636 -0.347098 70.9586 3.61482 4.2373 0.504755 0.622355 3901
0 0  -2.1882 3.33169 61.3636 2.1165 -0.359119 70.9589 3.58716 4.2344 0.504829 0.621971 3955
0 0  -2.18693 3.33797 61.3688 2.12653 -0.371726 70.9597 3.6129 4.21873 0.504087 0.62234 4007
0 0  -2.18344 3.34693 61.3733 2.13883 -0.373976 70.9507 3.63515 4.252 0.503356 0.62216 4057
0 0  -2.17415 3.35199 61.363 2.1415 -0.373258 70.9479 3.61658 4.26455 0.502612 0.622493 4111
0 0  -2.22711 3.30794 61.4042 2.16482 -0.375326 70.9292 3.67313 4.23721 0.502304 0.622725 4165
0 0  -2.7012 3.04061 61.9927 3.14084 -0.429722 70.2195 3.64682 4.35003 0.48347 0.635742 4216
0 0  -2.70669 3.04798 62.0138 3.12226 -0.438534 70.2384 3.71386 4.35631 0.440554 0.662524 4269
0 0  -2.69365 3.06711 62.0108 3.12248 -0.451579 70.2475 3.71016 4.35134 0.442171 0.662377 4320
0 0  -2.66798 3.07254 61.9637 3.13679 -0.462204 70.2453 3.71381 4.38379 0.441894 0.662117 4371
0 0  -2.12062 2.91843 60.8042 3.50336 -0.503269 70.0351 3.75005 4.29693 0.441299 0.662161 4422
0 0  0 0 0 0 0 0 0 0 0.43104 0.665281 4473
0 0  -1.63959 2.82384 60.0287 2.3196 -0.215892 70.6809 3.35754 4.35267 1.01387 0.812277 4524
0 0  -1.7514 2.90303 60.2481 1.83212 0.229152 70.7878 3.89577 4.45873 0.509688 0.627128 4575
0 0  -1.27547 2.93984 59.6732 1.3757 0.365397 71.124 3.94372 4.52576 0.523395 0.626397 4628
0 0  0.480562 3.14794 58.4441 -0.929426 1.4909 73.4014 4.04704 4.45119 0.629805 0.534255 4680
0 0  0.359782 3.16275 58.5475 -1.01689 1.5001 73.5578 4.03304 4.48932 0.677795 0.350124 4733
0 0  0.312445 3.18066 58.5976 -1.04556 1.51124 73.604 3.98703 4.45642 0.68832 0.340884 4784
0 0  0.274302 3.1877 58.633 -1.04799 1.50994 73.6098 3.95876 4.45706 0.689126 0.33804 4837
0 0  -1.88218 2.03265 60.0054 1.45091 1.5129 70.3855 3.87833 4.43008 0.693606 0.341311 4891
0 0  0 0 0 0 0 0 0 0 0.550384 0.683172 4944
0 0  0 0 0 0 0 0 0 0 0.389554 0.6816 4997
0 0  -1.36913 -0.786678 58.2168 0 0 0 3.86893 0 0.480375 0.256842 5049
0 0  -1.41143 2.44394 59.7252 0.776458 1.27 71.1744 3.64499 4.17359 1.01387 0.812277 5100
0 0  -1.56213 2.41474 59.8825 0.62664 1.3622 71.2856 3.62017 4.1847 0.596951 0.643545 5150
0 0  -1.58139 2.41501 59.9061 0.574011 1.38842 71.3296 3.60162 4.14276 0.602157 0.647603 5202
0 0  -1.45909 3.04444 60.2654 1.05007 0.532069 71.3439 3.63626 4.0893 0.607269 0.649674 5253
0 0  -1.3089 3.75834 60.7653 1.38108 -0.480963 71.7724 3.71215 4.20422 0.588 0.628964 5306
0 0  -1.37091 3.71574 60.8036 1.31466 -0.423774 71.795 3.65245 4.16577 0.533011 0.558457 5355
0 0  -1.39679 3.71634 60.8397 1.27698 -0.390458 71.8077 3.64342 4.14903 0.538627 0.557178 5409
0 0  -1.1969 4.0136 60.8966 1.31821 -0.732257 72.0697 3.60078 4.12478 0.542601 0.554735 5462
0 0  -1.22291 4.0137 60.9322 1.31466 -0.727314 72.069 3.54533 4.02843 0.521447 0.545728 5515
0 0  -1.23706 4.02719 60.9672 1.2844 -0.729072 72.1053 3.49963 4.01194 0.52395 0.545287 5566
0 0  -1.24839 4.02295 60.978 1.2749 -0.737207 72.124 3.49026 4.00204 0.524816 0.544255 5619
0 0  -1.06458 3.99464 60.7002 1.45506 -0.796128 71.9767 3.49343 3.97706 0.525725 0.542221 5672
0 0  0 0 0 0 0 0 0 0 0.511745 0.553691 5722
0 0  0 0 0 0 0 0 0 0 1.01387 0.812277 5777
0 0  -1.31502 2.99587 60.0456 1.21497 0.435825 71.2376 3.58332 3.97913 0.389554 0.6816 5831
0 0  -1.42001 2.99112 60.1699 1.06326 0.463511 71.3771 3.63126 4.18887 0.565281 0.594982 5884
0 0  -2.15602 2.52126 60.7632 2.12736 0.539554 70.3398 3.81643 4.23298 0.575425 0.590972 5937
0 0  -3.03353 1.95856 61.7496 3.52385 0.571455 69.3629 3.9751 4.46866 0.457276 0.667714 5991
0 0  -3.07508 2.01814 61.8883 3.34754 0.607934 69.4472 3.96629 4.49893 0.398593 0.681432 6045
0 0  -3.09068 2.01269 61.9146 3.30965 0.629143 69.4588 3.95763 4.55582 0.413588 0.681384 6098
0 0  -3.15503 1.91429 61.9513 3.25831 0.73802 69.4325 3.92766 4.61152 0.41616 0.681895 6152
0 0  -1.5667 3.12977 60.482 1.48816 -0.12986 71.3727 3.94498 4.53889 0.415873 0.682321 6203
0 0  -1.23043 3.54815 60.4464 1.07785 -0.165295 71.8397 3.85703 4.54147 0.54639 0.54544 6257
0 0  -1.41398 3.37615 60.5144 0.972955 0.110509 71.7363 3.8093 4.51114 0.553889 0.543187 6310
0 0  -1.55046 3.21403 60.5394 0.873756 0.32932 71.6822 3.76953 4.47101 0.577447 0.558668 6362
0 0  -1.59174 3.1318 60.5172 0.802376 0.449726 71.6753 3.73061 4.46184 0.586662 0.567566 6416
0 0  -1.77446 2.84305 60.502 0.794274 0.678341 71.5239 3.68768 4.46782 0.59598 0.575938 6468
0 0  -3.13974 0.488483 60.8837 1.77266 2.86934 69.589 3.80874 4.51952 0.578054 0.634957 6520
0 0  -3.07718 0.672855 60.8816 1.77202 2.75684 69.6238 3.79144 4.51986 0.419193 0.700665 6574
0 0  -3.04759 0.736744 60.8692 1.82036 2.64041 69.6231 3.78546 4.53375 0.422863 0.702293 6625
0 0  -2.97461 0.854759 60.8184 1.86565 2.53707 69.6221 3.77506 4.55128 0.430318 0.704371 6679
0 0  -2.87318 1.02704 60.7589 1.82121 2.45798 69.6837 3.82105 4.58527 0.435456 0.704737 6733
0 0  -3.66021 0.493908 61.8676 4.48031 2.264 68.18 3.96606 4.60138 0.441029 0.706003 6786
0 0  -3.74174 0.707595 62.1965 3.78924 2.06461 68.5664 4.01471 4.74511 0.296948 0.639775 6841
0 0  -2.90981 1.28603 60.9884 2.40665 2.12317 69.3711 4.01069 4.64654 0.363144 0.67103 6893
0 0  -3.20142 1.52308 61.6953 3.67851 1.20515 68.9656 4.02698 4.65521 0.409815 0.689159 6946
0 0  -3.11149 1.83525 61.7896 2.98553 1.18283 69.3816 3.93453 4.69707 0.370405 0.678814 6999
0 0  -2.84058 2.00995 61.4345 2.52396 1.23272 69.6671 3.98124 4.63788 0.40206 0.683422 7049
0 0  -2.83392 2.09802 61.5013 2.41582 1.23248 69.7445 3.97085 4.5436 0.456153 0.686792 7102
0 0  -3.07606 1.63495 61.5472 2.48015 1.73369 69.4732 3.97221 4.53048 0.461738 0.68619 7154
0 0  -3.12703 1.69516 61.6958 2.57828 1.65985 69.4366 3.94583 4.50922 0.436452 0.692794 7207
0 0  -3.12372 1.72113 61.712 2.57134 1.62507 69.4561 3.94242 4.5069 0.432483 0.690976 7259
0 0  -3.27565 1.647 61.9527 2.95932 1.57514 69.2229 3.87401 4.53358 0.433508 0.691025 7310
0 0  -3.27805 1.69049 61.9973 2.90854 1.54334 69.2685 3.97854 4.53602 0.409416 0.686033 7361
0 0  -3.22419 1.75187 61.9415 2.87668 1.52435 69.297 4.0208 4.5662 0.412866 0.686651 7413
