0 0  0 0 0 0 0 0 0 0 0 0 100
0 0  0 0 0 0 0 0 0 0 0 0 150
0 0  0 0 0 0 0 0 0 0 0 0 201
0 0  0 0 0 0 0 0 0 0 0 0 251
0 0  0 0 0 0 0 0 0 0 0 0 302
0 0  0 0 0 0 0 0 0 0 0 0 353
0 0  0 0 0 0 0 0 0 0 0 0 404
0 0  0 0 0 0 0 0 0 0 0 0 455
0 0  0 0 0 0 0 0 0 0 0 0 507
0 0  0 0 0 0 0 0 0 0 0 0 557
0 0  0 0 0 0 0 0 0 0 0 0 608
0 0  0 0 0 0 0 0 0 0 0 0 659
0 0  0 0 0 0 0 0 0 0 0 0 709
0 0  0 0 0 0 0 0 0 0 0 0 760
0 0  0 0 0 0 0 0 0 0 0 0 810
0 0  0 0 0 0 0 0 0 0 0 0 862
0 0  0 0 0 0 0 0 0 0 0 0 913
0 0  0 0 0 0 0 0 0 0 0 0 965
0 0  0 0 0 0 0 0 0 0 0 0 1016
0 0  0 0 0 0 0 0 0 0 0 0 1066
0 0  0 0 0 0 0 0 0 0 0 0 1117
0 0  0 0 0 0 0 0 0 0 0 0 1167
0 0  0 0 0 0 0 0 0 0 0 0 1217
0 0  0 0 0 0 0 0 0 0 0 0 1269
0 0  0 0 0 0 0 0 0 0 0 0 1319
0 0  0 0 0 0 0 0 0 0 0 0 1369
0 0  0 0 0 0 0 0 0 0 0 0 1420
0 0  0 0 0 0 0 0 0 0 0 0 1472
0 0  0 0 0 0 0 0 0 0 0 0 1520
0 0  0 0 0 0 0 0 0 0 0 0 1571
0 0  0 0 0 0 0 0 0 0 0 0 1622
0 0  0 0 0 0 0 0 0 0 0 0 1673
0 0  0 0 0 0 0 0 0 0 0 0 1723
0 0  0 0 0 0 0 0 0 0 0 0 1775
0 0  0 0 0 0 0 0 0 0 0 0 1825
0 0  0 0 0 0 0 0 0 0 0 0 1875
0 0  0 0 0 0 0 0 0 0 0 0 1926
0 0  0 0 0 0 0 0 0 0 0 0 1976
0 0  0 0 0 0 0 0 0 0 0 0 2027
0 0  0 0 0 0 0 0 0 0 0 0 2078
0 0  0 0 0 0 0 0 0 0 0 0 2128
0 0  0 0 0 0 0 0 0 0 0 0 2180
0 0  0 0 0 0 0 0 0 0 0 0 2230
0 0  0 0 0 0 0 0 0 0 0 0 2285
0 0  0 0 0 0 0 0 0 0 0 0 2334
0 0  0 0 0 0 0 0 0 0 0 0 2385
0 0  0 0 0 0 0 0 0 0 0 0 2435
0 0  0 0 0 0 0 0 0 0 0 0 2486
0 0  0 0 0 0 0 0 0 0 0 0 2537
0 0  0 0 0 0 0 0 0 0 0 0 2588
0 0  0 0 0 0 0 0 0 0 0 0 2638
0 0  0 0 0 0 0 0 0 0 0 0 2688
0 0  0 0 0 0 0 0 0 0 0 0 2739
0 0  0 0 0 0 0 0 0 0 0 0 2789
0 0  0 0 0 0 0 0 0 0 0 0 2840
0 0  0 0 0 0 0 0 0 0 0 0 2891
0 0  0 0 0 0 0 0 0 0 0 0 2942
0 0  0 0 0 0 0 0 0 0 0 0 2994
0 0  0 0 0 0 0 0 0 0 0 0 3044
0 0  0 0 0 0 0 0 0 0 0 0 3095
0 0  0 0 0 0 0 0 0 0 0 0 3147
0 0  0 0 0 0 0 0 0 0 0 0 3196
0 0  0 0 0 0 0 0 0 0 0 0 3247
0 0  0 0 0 0 0 0 0 0 0 0 3298
0 0  0 0 0 0 0 0 0 0 0 0 3348
0 0  0 0 0 0 0 0 0 0 0 0 3398
0 0  0 0 0 0 0 0 0 0 0 0 3450
0 0  0 0 0 0 0 0 0 0 0 0 3501
0 0  0 0 0 0 0 0 0 0 0 0 3552
0 0  0 0 0 0 0 0 0 0 0 0 3603
0 0  0 0 0 0 0 0 0 0 0 0 3654
0 0  0 0 0 0 0 0 0 0 0 0 3704
0 0  0 0 0 0 0 0 0 0 0 0 3756
0 0  0 0 0 0 0 0 0 0 0 0 3807
0 0  0 0 0 0 0 0 0 0 0 0 3857
0 0  0 0 0 0 0 0 0 0 0 0 3908
0 0  0 0 0 0 0 0 0 0 0 0 3959
0 0  0 0 0 0 0 0 0 0 0 0 4009
0 0  0 0 0 0 0 0 0 0 0 0 4060
0 0  0 0 0 0 0 0 0 0 0 0 4111
0 0  0 0 0 0 0 0 0 0 0 0 4162
0 0  0 0 0 0 0 0 0 0 0 0 4214
0 0  0 0 0 0 0 0 0 0 0 0 4265
0 0  0 0 0 0 0 0 0 0 0 0 4315
0 0  0 0 0 0 0 0 0 0 0 0 4367
0 0  0 0 0 0 0 0 0 0 0 0 4418
0 0  0 0 0 0 0 0 0 0 0 0 4469
0 0  0 0 0 0 0 0 0 0 0 0 4521
0 0  0 0 0 0 0 0 0 0 0 0 4573
0 0  0 0 0 0 0 0 0 0 0 0 4624
